label_index,label_name,support_total,support_positive,support_negative,acc,bacc,auc,aupr,f1
0,Acute myocardial infarction,1234,82,1152,0.93354943273906,0.5,0.5,0.06645056726094004,0.0
1,Chronic kidney disease,1234,293,941,0.873581847649919,0.8042964967194148,0.8042964967194148,0.5931807079085758,0.7163636363636363
2,Chronic obstructive pulmonary disease,1234,235,999,0.8614262560777958,0.7126466892424339,0.7126466892424339,0.43232032008087573,0.5648854961832062
3,Conduction disorders,1234,33,1201,0.9627228525121556,0.6566749930613378,0.6566749930613377,0.12259010573435208,0.3235294117647059
4,Coronary atherosclerosis and related,1234,464,770,0.8711507293354943,0.8350873264666369,0.8350873264666369,0.7754687691592893,0.8010012515644556
5,Diabetes mellitus without complication,1234,504,730,0.8128038897893031,0.782504348771472,0.782504348771472,0.7062780080228637,0.7291910902696366
6,Essential hypertension,1234,596,638,0.8816855753646677,0.8783451852475227,0.8783451852475227,0.8619788833987796,0.8643122676579925
7,Gastrointestinal hemorrhage,1234,356,878,0.7025931928687196,0.5004159094980932,0.5004159094980932,0.2886680682102531,0.04177545691906005
8,Pneumonia,1234,285,949,0.7674230145867099,0.50017377479526,0.50017377479526,0.23102306008132162,0.006920415224913495
9,Shock,1234,153,1081,0.8760129659643436,0.5,0.5,0.1239870340356564,0.0
