label_index,label_name,support_total,support_positive,support_negative,acc,bacc,auc,aupr,f1
0,Acute myocardial infarction,1235,82,1153,0.9336032388663967,0.5,0.6140820341421108,0.10071694205562134,0.0
1,Chronic kidney disease,1235,293,942,0.8736842105263158,0.8043303406447686,0.8035531836264429,0.6718398813601794,0.7163636363636363
2,Chronic obstructive pulmonary disease,1235,235,1000,0.8631578947368421,0.7169255319148936,0.6785489361702127,0.49185541889686357,0.5721518987341773
3,Conduction disorders,1235,33,1202,0.962753036437247,0.6566833056017748,0.7644708314425454,0.18549601066236732,0.3235294117647059
4,Coronary atherosclerosis and related,1235,465,770,0.8696356275303644,0.833696411115766,0.8404859656472559,0.8308020841125374,0.7990012484394506
5,Diabetes mellitus without complication,1235,504,731,0.8129554655870446,0.7825399539660826,0.8266820294009075,0.8022739979730813,0.7291910902696366
6,Essential hypertension,1235,596,639,0.8817813765182186,0.8783635819390616,0.8895781474829589,0.9154938050084924,0.8643122676579925
7,Gastrointestinal hemorrhage,1235,356,879,0.7036437246963563,0.5018327133744934,0.5333084071531746,0.3099013211727991,0.046875
8,Pneumonia,1235,286,949,0.7668016194331984,0.5001676405785995,0.531254835785921,0.2453695431099049,0.006896551724137931
9,Shock,1235,153,1082,0.8761133603238866,0.5,0.5132229108525727,0.13136143647129694,0.0
